Q_id,ref_id,model_name,manufacturer,location,W_count,Q_count,Total_count
11.83,MS49(3/8),Brain of Human Embryo (approximately 5 weeks) - View of Lateral Ventricles,SOMSO,Compactus,1,0,1
11.84,MS49(4/8),Brain of Human Embryo (approximately 5 weeks) - Cross Section,SOMSO,Compactus,1,0,1
11.85,MS49(5/8),Brain of Human Embryo (approximately 5 weeks) - Cerebellum removed for view of Brain Stem,SOMSO,Compactus,1,0,1
11.86,MS49(6/8),Brain of Human Foetus (3 months) - View of Lateral Ventricles,SOMSO,Compactus,1,0,1
11.87,MS49(7/8),Brain of Human Foetus (3 months) - Cross Section,SOMSO,Compactus,1,0,1
11.88,MS49(8/8),Brain of Human Foetus (3 months) - View of Deep Structures,SOMSO,Compactus,1,0,1
11.90,MS16,Foetal Circulatory System (2 parts),SOMSO,W306,2,0,2
12.01,GS10,Larynx large with flexible ligaments,SOMSO,Cupboard 51,1,2,3
12.11,GS6,Larynx,SOMSO,Cupboard 51,5,2,7
12.21,GS4/1,Bronchial Tree,SOMSO,Cupboard 50,8,4,12
12.211,GS5,Larynx with Trachea (6 parts),SOMSO,Q704,0,2,2
12.31,HS23,Lobule of the Lung and Alveoli ,SOMSO,Cupboard 50,6,2,8
13.01,JS2/2,Digestive Tract Slab,SOMSO,Cupboard 32,6,2,8
13.03,JS8/1,Transparent Liver with Vascular Architecture,SOMSO,Cupboard 51,1,0,1
13.04,JS8/2,Transparent Liver and Gallbladder with Vascular Architecture (Large),SOMSO,Cupboard 51,1,0,1
13.10,ES14/1,Development of a Set of Teeth (8 parts),SOMSO,Cupboard 54,1,0,1
13.11,ES14,Development of a Set of Teeth ,SOMSO,Cupboard 54,1,0,1
13.12,ES11/5,First Upper Molar with Three Roots,SOMSO,Cupboard 54,2,0,2
13.20,JS4,Stomach (2 parts),SOMSO,Cupboard 54,4,0,4
13.41,0142-00,Villus,Denoyer Geppert,Cupboard 52,7,3,10
13.51,JS11,Pancreas with Spleen and Duodenum,SOMSO,Cupboard 53,6,3,9
13.52,K22/3,Rear Organs of Upper Abdomen,3B,Cupboard 53,2,0,2
13.61,JS8,Liver with Gallbladder,SOMSO,Cupboard 51,6,2,8
14.11,LS1,Right Kidney on Stand,SOMSO,Cupboard 56,1,0,1
14.21,LS9,3 Part Kidney Slab,SOMSO,Cupboard 57 & 58,8,2,10
14.31,LS4,1/2 Kidney slab ,SOMSO,Cupboard 56,5,2,7
14.41,LS6,Nephron,SOMSO,Cupboard 56,3,0,3
14.51,LS7,Glomerulus,SOMSO,Cupboard 56,5,1,6
14.61,LS3,Urinary System,SOMSO,Cupboard 55,7,1,8
15.01,ZoS120,Animal Cell,SOMSO,Cupboard 58 & 59,5,2,7
